Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,23507,2023-11-14,0.0028490682,-0.08915325,-0.092684417,21,100
Market-Adjusted Model,23508,2023-11-14,0.0551209052,-0.037446308,-0.040412579,21,100
Market-Adjusted Model,23509,2023-11-14,0.7037036705,0.505160027,0.6081701857,21,100
Market-Adjusted Model,23510,2023-11-14,-0.223506719,-0.28405244,-0.319040204,21,100
Market-Adjusted Model,23511,2023-11-14,0.0061118549,-0.085671894,-0.08942163,21,100
Market-Adjusted Model,23512,2023-11-14,0.0117702451,-0.080248369,-0.08376324,21,100
Market-Adjusted Model,23513,2023-11-14,0.0314960271,-0.029751391,-0.064037458,21,100
Market-Adjusted Model,23514,2023-11-14,0.0714294959,0.0478300236,-0.024103989,21,100
Market-Adjusted Model,23515,2023-11-14,-0.198918938,-0.289517174,-0.294452423,21,100
Market-Adjusted Model,23516,2023-11-14,0.3933053888,0.2871029671,0.2977719041,21,100
Market-Adjusted Model,23517,2023-11-14,-0.02696872,-0.108465684,-0.122502205,21,100
Market-Adjusted Model,23518,2023-11-14,-0.078350543,-0.165376716,-0.173884028,21,100
Market-Adjusted Model,23519,2023-11-14,0.1036337216,0.0080625849,0.0081002369,21,100
Market-Adjusted Model,23520,2023-11-14,0.1081576827,0.013321748,0.012624198,21,100
Market-Adjusted Model,23521,2023-11-14,0.0065257087,-0.085502426,-0.089007776,21,100
Market-Adjusted Model,23522,2023-11-14,0.0767432528,-0.01751262,-0.018790232,21,100
Market-Adjusted Model,23523,2023-11-14,0.1110973734,0.0141764189,0.0155638887,21,100
Market-Adjusted Model,23524,2023-11-14,0.1030354811,0.0086522361,0.0075019963,21,100
Market-Adjusted Model,23525,2023-11-14,0.0644677282,-0.028827811,-0.031065757,21,100
Market-Adjusted Model,23526,2023-11-14,0.0964983375,0.0008228319,0.0009648527,21,100
Market-Adjusted Model,23527,2023-11-14,0.0448443132,-0.048007485,-0.050689172,21,100
Market-Adjusted Model,23530,2023-11-14,0.063845719,-0.029820644,-0.031687766,21,100
Market-Adjusted Model,23531,2023-11-14,-0.002520456,-0.09452153,-0.098053941,21,100
Market-Adjusted Model,23532,2023-11-14,0.0215996427,-0.070515562,-0.073933842,21,100
Market-Adjusted Model,23533,2023-11-14,0.0850833645,-0.009360681,-0.01045012,21,100
Market-Adjusted Model,23534,2023-11-14,0.0832365136,-0.011410954,-0.012296971,21,100
Market-Adjusted Model,23535,2023-11-14,0.0993799623,0.0035628405,0.0038464776,21,100
Market-Adjusted Model,23536,2023-11-14,0.0267803794,-0.064347753,-0.068753105,21,100
Market-Adjusted Model,23538,2023-11-14,0.0575456953,-0.035292275,-0.037987789,21,100
Market-Adjusted Model,23539,2023-11-14,0.0528504837,-0.040217868,-0.042683001,21,100
Market-Adjusted Model,23540,2023-11-14,0.0711033549,-0.022156368,-0.02443013,21,100
Market-Adjusted Model,23541,2023-11-14,0.1022335409,0.0063633532,0.0067000562,21,100
Market-Adjusted Model,23542,2023-11-14,0.0943467066,-0.000989712,-0.001186778,21,100
Market-Adjusted Model,23543,2023-11-14,0.0046518265,-0.087316497,-0.090881658,21,100
Market-Adjusted Model,23546,2023-11-14,0.0690208655,-0.024343778,-0.026512619,21,100
Market-Adjusted Model,23547,2023-11-14,0.021575719,-0.069706829,-0.073957766,21,100
Market-Adjusted Model,23548,2023-11-14,0.0948332986,-0.00085024,-0.000700186,21,100
Market-Adjusted Model,23549,2023-11-14,0.0445492076,-0.047994133,-0.050984277,21,100
Market-Adjusted Model,23550,2023-11-14,0.0784525274,-0.016106577,-0.017080957,21,100
Market-Adjusted Model,23551,2023-11-14,0.0694536519,-0.023705615,-0.026079833,21,100
Market-Adjusted Model,23554,2023-11-14,0.082765946,-0.011829446,-0.012767539,21,100
Market-Adjusted Model,23555,2023-11-14,0.0499659542,-0.043039684,-0.045567531,21,100
Market-Adjusted Model,23557,2023-11-14,0.0859508949,-0.008919865,-0.00958259,21,100
Market-Adjusted Model,23558,2023-11-14,0.0327288709,-0.058935182,-0.062804614,21,100
Market-Adjusted Model,23559,2023-11-14,0.0391541214,-0.052858905,-0.056379363,21,100
Market-Adjusted Model,23562,2023-11-14,0.0182403241,-0.073890254,-0.077293161,21,100
Market-Adjusted Model,23563,2023-11-14,0.1758154846,0.073130558,0.0802819999,21,100
Market-Adjusted Model,23564,2023-11-14,0.0228673279,-0.069313596,-0.072666157,21,100
Market-Adjusted Model,23565,2023-11-14,0.1393352109,0.0409763655,0.0438017262,21,100
